ROI,Structure,Abbreviation,c_R,c_G,c_B,c_A,Level_1,Level_2,Level_3,Level_4,Macrostructure
1,Cingulate_Cortex_Area_24a,A24a,255,0,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
2,Cingulate_Cortex_Area_24a_prime,A24aPrime,255,124,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
3,Cingulate_Cortex_Area_24b,A24b,255,248,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
4,Cingulate_Cortex_Area_24b_prime,A24bPrime,138,255,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
5,Cingulate_Cortex_Area_29a,A29a,14,255,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
6,Cingulate_Cortex_Area_29b,A29b,0,255,110,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
7,Cingulate_Cortex_Area_29c,A29c,0,255,224,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
8,Cingulate_Cortex_Area_30,A30,0,172,255,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
9,Cingulate_Cortex_Area_32,A32,0,59,255,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
10,Primary_Auditory_Cortex,Au1,55,0,255,255,forebrain,secondary_prosencephalon,isocortex,medial_pallium,isocortex
11,Secondary_Auditory_Cortex_Dorsal_Part,AuD,169,0,255,255,forebrain,secondary_prosencephalon,isocortex,temporal_cortex,isocortex
12,Secondary_Auditory_Cortex_Ventral_Part,AuV,255,0,227,255,forebrain,secondary_prosencephalon,isocortex,temporal_cortex,isocortex
13,orsolateral_Orbital_Cortex,DLO,255,0,114,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
14,Frontal_Cortex_Area_3,Fr3,255,0,35,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
15,Frontal_Association_Cortex,FrA,255,134,0,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
16,Insular_Cortex,Ins,252,255,0,255,forebrain,secondary_prosencephalon,isocortex,insular_cortex,isocortex
17,Lateral_Orbital_Cortex,LO,81,0,255,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
18,Lateral_Parietal_Association_Cortex,LPtA,17,220,240,255,forebrain,secondary_prosencephalon,isocortex,parietal_cortex,isocortex
19,Primary_Motor_Cortex,M1,0,255,121,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
20,Secondary_Motor_Cortex,M2,0,255,234,255,forebrain,secondary_prosencephalon,isocortex,parietal_cortex,isocortex
