,runno:,N54794,atlas:,C57_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,22364265,2037.94389107,0.00030748,1434.40087891,0.00043739,0.00027232,0.00021163,0.27421376,0.00024198
1,9784,0.89156711,0.00031300,2990.07910156,0.00036373,0.00031535,0.00025992,0.16962640,0.00028764
2,4080,0.37179004,0.00032160,2793.04370117,0.00036936,0.00032426,0.00027118,0.15641944,0.00029772
3,8288,0.75524409,0.00033202,2741.48535156,0.00037790,0.00033877,0.00027941,0.15080430,0.00030909
4,3223,0.29369591,0.00032568,2732.42260742,0.00036597,0.00033243,0.00027991,0.13329159,0.00030617
5,2942,0.26808978,0.00033383,2592.17602539,0.00039507,0.00032117,0.00028525,0.16926901,0.00030321
6,1818,0.16566527,0.00033015,2558.94482422,0.00039147,0.00033269,0.00026687,0.18579023,0.00029978
7,9228,0.84090160,0.00032497,2667.45288086,0.00038598,0.00032477,0.00026415,0.19188370,0.00029446
8,17221,1.56926381,0.00033147,2550.03417969,0.00038701,0.00033682,0.00027219,0.17183056,0.00030451
9,13176,1.20066314,0.00032424,2951.23339844,0.00037841,0.00031205,0.00028232,0.15102986,0.00029718
10,8815,0.80326697,0.00033282,2558.06079102,0.00038152,0.00032860,0.00028838,0.14247693,0.00030849
11,9136,0.83251810,0.00033596,2537.02685547,0.00038368,0.00033110,0.00029315,0.13800204,0.00031213
12,9503,0.86596098,0.00033599,2556.79125977,0.00038936,0.00032800,0.00029060,0.14902130,0.00030930
13,3456,0.31492804,0.00033483,2616.31176758,0.00038779,0.00033083,0.00028279,0.15909651,0.00030681
14,5639,0.51385394,0.00034110,2547.12939453,0.00038487,0.00034606,0.00029238,0.13739717,0.00031922
15,44786,4.08112474,0.00033544,2666.06542969,0.00039402,0.00032076,0.00028909,0.16073832,0.00030492
16,37066,3.37763965,0.00033306,2657.32324219,0.00038389,0.00033313,0.00027899,0.16067971,0.00030606
17,17409,1.58639531,0.00033652,2656.92993164,0.00039680,0.00032726,0.00028545,0.16911352,0.00030635
18,1224,0.11153701,0.00034633,2485.70556641,0.00038632,0.00034249,0.00030983,0.11287405,0.00032616
19,44583,4.06262636,0.00033614,2538.64282227,0.00039182,0.00032930,0.00028763,0.15919787,0.00030846
20,41028,3.73867695,0.00033678,2602.66040039,0.00039919,0.00033377,0.00027784,0.18061586,0.00030580
21,7688,0.70056908,0.00032393,2968.12304688,0.00038131,0.00031248,0.00027800,0.16353835,0.00029524
22,2829,0.25779266,0.00033380,2618.77465820,0.00037920,0.00032823,0.00029397,0.13190831,0.00031110
23,504,0.04592701,0.00034019,2490.88305664,0.00037916,0.00034135,0.00030005,0.11901481,0.00032070
24,4687,0.42710293,0.00033985,2449.24365234,0.00038719,0.00033247,0.00029989,0.13373020,0.00031618
25,50149,4.56982817,0.00033574,2483.93579102,0.00038540,0.00032861,0.00029321,0.14150842,0.00031091
26,9025,0.82240322,0.00033728,2493.43334961,0.00038323,0.00033482,0.00029378,0.13623217,0.00031430
27,20721,1.88820135,0.00033660,2493.91674805,0.00038421,0.00033274,0.00029287,0.14041950,0.00031280
28,18480,1.68399020,0.00033822,2499.44702148,0.00038482,0.00033001,0.00029983,0.13106370,0.00031492
29,18211,1.65947757,0.00033841,2521.11059570,0.00038173,0.00033991,0.00029353,0.13318799,0.00031672
30,1052,0.09586351,0.00033618,2536.76904297,0.00038127,0.00032984,0.00029743,0.12847044,0.00031363
31,3826,0.34864429,0.00034000,2513.27612305,0.00038337,0.00033508,0.00030156,0.12372565,0.00031832
32,25166,2.29325202,0.00033481,2502.63159180,0.00038286,0.00033021,0.00029099,0.13955191,0.00031060
33,32133,2.92811997,0.00033606,2521.65600586,0.00038434,0.00033541,0.00028733,0.14626737,0.00031137
34,15964,1.45471967,0.00033776,2617.97045898,0.00039604,0.00033440,0.00028286,0.16854140,0.00030863
