,runno:,N54815,atlas:,BTBR_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,22947298,2091.07277953,0.00036805,1540.65258789,0.00050628,0.00032586,0.00026256,0.28723940,0.00029421
1,14382,1.31055991,0.00031252,3045.99194336,0.00037015,0.00031254,0.00025488,0.18493418,0.00028371
2,9256,0.84345310,0.00032047,2906.04052734,0.00036857,0.00032271,0.00027012,0.15640172,0.00029641
3,5769,0.52570019,0.00033492,2706.04150391,0.00038470,0.00034256,0.00027751,0.16139780,0.00031003
4,2803,0.25542341,0.00032275,2946.10449219,0.00036635,0.00033172,0.00027238,0.14570934,0.00030205
5,9584,0.87334210,0.00031332,3027.12426758,0.00037059,0.00031030,0.00026192,0.17076702,0.00028611
6,816,0.07435801,0.00033024,2922.61206055,0.00038562,0.00033840,0.00026669,0.18033893,0.00030255
7,8912,0.81210610,0.00032587,2814.43725586,0.00037897,0.00032363,0.00027538,0.15893456,0.00029951
8,13428,1.22362665,0.00032195,2907.04370117,0.00036897,0.00033027,0.00026802,0.15755101,0.00029915
9,10164,0.92619461,0.00032263,2917.92041016,0.00038409,0.00031227,0.00027091,0.17613709,0.00029159
10,7158,0.65227283,0.00033374,2607.10009766,0.00037461,0.00033513,0.00029149,0.12628056,0.00031331
11,6956,0.63386558,0.00033146,2564.87036133,0.00037152,0.00033264,0.00029039,0.12419457,0.00031152
12,7749,0.70612771,0.00033475,2641.77270508,0.00038302,0.00033192,0.00028932,0.14178140,0.00031062
13,3784,0.34481704,0.00033311,2743.93823242,0.00038730,0.00033083,0.00028119,0.16087332,0.00030601
14,3871,0.35274492,0.00034304,2512.95629883,0.00038664,0.00034777,0.00029471,0.13668209,0.00032124
15,31163,2.83972871,0.00033718,2670.85791016,0.00039416,0.00032687,0.00029065,0.15608674,0.00030876
16,34659,3.15830175,0.00032341,2760.62353516,0.00037642,0.00032668,0.00026661,0.17328212,0.00029665
17,15909,1.44970780,0.00033469,2716.64282227,0.00039166,0.00032896,0.00028345,0.16492537,0.00030621
18,1172,0.10679851,0.00033627,2513.77294922,0.00037631,0.00033313,0.00029937,0.11676189,0.00031625
19,29467,2.68518070,0.00034147,2494.55468750,0.00038745,0.00033528,0.00030165,0.12983362,0.00031846
20,30353,2.76591745,0.00033783,2591.12329102,0.00039321,0.00033574,0.00028465,0.16083802,0.00031020
21,5489,0.50018518,0.00032169,3027.72705078,0.00038510,0.00030454,0.00027553,0.17635894,0.00029003
22,2103,0.19163590,0.00033394,2610.29589844,0.00037033,0.00033428,0.00029722,0.11205128,0.00031575
23,575,0.05239688,0.00033940,2482.08227539,0.00038460,0.00033579,0.00029919,0.12760140,0.00031749
24,4098,0.37343029,0.00034255,2440.93090820,0.00037934,0.00034230,0.00030601,0.10977653,0.00032416
25,43120,3.92931047,0.00033942,2433.10473633,0.00038398,0.00033631,0.00029792,0.12974948,0.00031712
26,6579,0.59951145,0.00034012,2443.40527344,0.00038078,0.00033813,0.00030146,0.12013455,0.00031980
27,13636,1.24258065,0.00033980,2458.84545898,0.00037827,0.00033720,0.00030394,0.11296055,0.00032057
28,11349,1.03417775,0.00033996,2485.58764648,0.00037484,0.00033732,0.00030780,0.10207488,0.00032256
29,14569,1.32760028,0.00033977,2499.43603516,0.00038147,0.00033902,0.00029883,0.12442449,0.00031892
30,749,0.06825263,0.00034207,2500.48999023,0.00038166,0.00033963,0.00030491,0.11443201,0.00032227
31,3033,0.27638216,0.00033807,2530.85302734,0.00037525,0.00033651,0.00030204,0.11062738,0.00031927
32,22796,2.07728575,0.00033715,2489.28100586,0.00037863,0.00033641,0.00029642,0.12393704,0.00031641
33,31783,2.89622622,0.00033287,2585.73925781,0.00037656,0.00033755,0.00028441,0.14098042,0.00031098
34,13157,1.19893177,0.00032460,2801.92187500,0.00037177,0.00032592,0.00027624,0.14800991,0.00030108
35,2732,0.24895353,0.00033953,2502.28906250,0.00038498,0.00033547,0.00029815,0.12979774,0.00031681
36,9604,0.87516460,0.00033664,2539.35083008,0.00037597,0.00033672,0.00029727,0.11941601,0.00031700
37,18381,1.67496882,0.00033234,2617.32055664,0.00037600,0.00033449,0.00028723,0.13627650,0.00031086
38,12592,1.14744614,0.00033598,2651.98583984,0.00037757,0.00033676,0.00029369,0.12695347,0.00031522
39,5313,0.48414718,0.00033385,2577.69335938,0.00037552,0.00033718,0.00028907,0.13248552,0.00031313
40,8259,0.75260146,0.00032677,2721.50952148,0.00037323,0.00033967,0.00026770,0.16565695,0.00030369
41,7971,0.72635746,0.00032452,2928.21826172,0.00038820,0.00030808,0.00027726,0.17705093,0.00029267
42,20226,1.84309447,0.00030883,3018.91259766,0.00035952,0.00030394,0.00026582,0.15180154,0.00028488
43,6525,0.59459070,0.00032348,2865.12451172,0.00038082,0.00031355,0.00027607,0.16530356,0.00029481
44,10295,0.93813199,0.00032212,2873.78613281,0.00038857,0.00031296,0.00026475,0.19398440,0.00028885
45,3152,0.28722603,0.00031752,2930.65917969,0.00035195,0.00031515,0.00028569,0.10840244,0.00030042
46,5637,0.51367169,0.00032040,2888.54418945,0.00036151,0.00031873,0.00028097,0.12887454,0.00029985
47,1137,0.10360914,0.00033727,2720.75122070,0.00043639,0.00032042,0.00025501,0.27051720,0.00028772
48,408,0.03717900,0.00033425,2643.54663086,0.00043178,0.00030997,0.00026099,0.26061970,0.00028548
49,8864,0.80773210,0.00032591,2757.65112305,0.00040940,0.00030958,0.00025882,0.21496584,0.00028420
50,1382,0.12593477,0.00033700,2684.31103516,0.00046028,0.00029958,0.00025114,0.31665018,0.00027536
51,122170,11.13274258,0.00033879,2715.23754883,0.00040918,0.00032924,0.00027796,0.19789772,0.00030360
52,2785,0.25378316,0.00032315,3002.87744141,0.00036613,0.00032354,0.00027977,0.13740684,0.00030166
53,11939,1.08794150,0.00031535,2970.20190430,0.00036557,0.00031797,0.00026283,0.16623126,0.00029040
54,4991,0.45480493,0.00032619,2895.78515625,0.00038207,0.00032232,0.00027418,0.16605280,0.00029824
55,8122,0.74011734,0.00031468,2969.07885742,0.00038346,0.00031165,0.00024894,0.21740451,0.00028029
56,647,0.05895788,0.00031928,2948.86059570,0.00037801,0.00031138,0.00026846,0.17200533,0.00028992
57,260696,23.75592583,0.00033163,2919.10083008,0.00040786,0.00031952,0.00026749,0.21514995,0.00029351
58,1142,0.10406476,0.00032809,2732.66381836,0.00037391,0.00032370,0.00028668,0.13574737,0.00030519
59,49146,4.47842978,0.00026873,3419.32177734,0.00031359,0.00026500,0.00022749,0.16436966,0.00024625
