,runno:,N54821,atlas:,CAST_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,23638320,2154.04216678,0.00033366,1625.30664062,0.00046253,0.00029316,0.00023521,0.27791849,0.00026418
1,7142,0.65081483,0.00030854,3142.50732422,0.00035871,0.00031285,0.00025406,0.17353919,0.00028345
2,2948,0.26863653,0.00031741,2953.39038086,0.00037413,0.00032220,0.00025590,0.18986969,0.00028905
3,5878,0.53563281,0.00032617,2848.38085938,0.00037194,0.00033945,0.00026711,0.16557755,0.00030328
4,1980,0.18042752,0.00032118,2866.29296875,0.00036557,0.00033028,0.00026770,0.15609980,0.00029899
5,1592,0.14507102,0.00032849,2793.64599609,0.00039538,0.00031754,0.00027254,0.19207919,0.00029504
6,1190,0.10843876,0.00032300,2878.82470703,0.00039038,0.00032684,0.00026146,0.19216505,0.00029415
7,6334,0.57718582,0.00031803,2907.64038086,0.00038184,0.00031691,0.00025534,0.20356348,0.00028612
8,12120,1.10443513,0.00031966,2871.05712891,0.00037321,0.00032609,0.00026089,0.17604651,0.00029349
9,8919,0.81274397,0.00032263,2996.62036133,0.00037691,0.00031595,0.00027502,0.15931791,0.00029549
10,5818,0.53016531,0.00033363,2619.90917969,0.00038645,0.00032715,0.00028712,0.15104848,0.00030713
11,6545,0.59641320,0.00033109,2619.41040039,0.00038116,0.00032980,0.00028240,0.15162981,0.00030610
12,5513,0.50237218,0.00033800,2649.46899414,0.00038679,0.00033297,0.00029425,0.13860720,0.00031361
13,3594,0.32750329,0.00033986,2614.51953125,0.00041952,0.00033998,0.00026548,0.22184969,0.00030273
14,4787,0.43621543,0.00034396,2567.83056641,0.00039577,0.00035096,0.00028516,0.16288234,0.00031806
15,32901,2.99810398,0.00033918,2703.77099609,0.00040528,0.00032787,0.00028425,0.18133174,0.00030606
16,31894,2.90634110,0.00032746,2753.16845703,0.00039141,0.00032959,0.00025906,0.20553865,0.00029432
17,12755,1.16229951,0.00034084,2729.69848633,0.00042152,0.00032506,0.00027595,0.21911018,0.00030050
18,880,0.08019001,0.00032451,2710.01049805,0.00036437,0.00032254,0.00028746,0.12048921,0.00030500
19,32223,2.93632123,0.00033500,2638.16699219,0.00039027,0.00032879,0.00028594,0.15972921,0.00030737
20,29649,2.70176545,0.00033419,2704.33496094,0.00039519,0.00033686,0.00027081,0.18815151,0.00030384
21,6538,0.59577532,0.00032195,3055.93627930,0.00038335,0.00030969,0.00027280,0.17522475,0.00029125
22,1951,0.17778490,0.00031185,2956.07617188,0.00035576,0.00030739,0.00027240,0.13812624,0.00028989
23,437,0.03982163,0.00033355,2692.77807617,0.00036997,0.00033522,0.00029545,0.11517569,0.00031533
24,3408,0.31055404,0.00033379,2614.95776367,0.00037641,0.00033416,0.00029080,0.13161914,0.00031248
25,32676,2.97760085,0.00033580,2536.51464844,0.00038391,0.00033170,0.00029178,0.14086661,0.00031174
