,runno:,N54833,atlas:,DB2_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,23028414,2098.46447591,0.00033742,1466.69165039,0.00046383,0.00029353,0.00023391,0.27660009,0.00026372
1,9083,0.82768847,0.00031972,2959.17358398,0.00037814,0.00032397,0.00025704,0.19248043,0.00029051
2,3792,0.34554604,0.00032568,2794.84106445,0.00038469,0.00033027,0.00026208,0.19177629,0.00029618
3,6421,0.58511369,0.00033123,2757.95751953,0.00038309,0.00033749,0.00027312,0.16741031,0.00030531
4,2494,0.22726578,0.00032402,2756.51342773,0.00037867,0.00033507,0.00025831,0.18797009,0.00029669
5,2967,0.27036791,0.00032479,2685.53271484,0.00039860,0.00031080,0.00026778,0.20341690,0.00028929
6,1414,0.12885077,0.00033299,2770.00146484,0.00039669,0.00032574,0.00027620,0.18067552,0.00030097
7,8203,0.74749846,0.00032196,2756.99877930,0.00039263,0.00031644,0.00025688,0.21471331,0.00028666
8,15391,1.40250504,0.00032613,2678.87231445,0.00038493,0.00032965,0.00026484,0.18066882,0.00029725
9,10713,0.97622224,0.00033422,2798.38745117,0.00039702,0.00032154,0.00028409,0.17188853,0.00030281
10,6852,0.62438857,0.00033782,2556.77783203,0.00038619,0.00033368,0.00029363,0.13910691,0.00031366
11,6921,0.63067620,0.00033880,2534.26245117,0.00038525,0.00033648,0.00029467,0.13638370,0.00031557
12,7209,0.65692020,0.00033393,2651.50976562,0.00038462,0.00032869,0.00028849,0.14496286,0.00030859
13,3270,0.29797879,0.00034231,2539.26245117,0.00040700,0.00033751,0.00028465,0.18005478,0.00031108
14,4200,0.38272505,0.00034167,2582.57153320,0.00039002,0.00034228,0.00029273,0.14455093,0.00031750
15,36070,3.28687914,0.00034820,2594.13623047,0.00041008,0.00033561,0.00029788,0.16455249,0.00031674
16,30648,2.79279933,0.00032551,2751.28930664,0.00037850,0.00032809,0.00026848,0.17297657,0.00029828
17,15295,1.39375704,0.00034180,2642.60742188,0.00040406,0.00033235,0.00028900,0.17180273,0.00031067
18,1395,0.12711939,0.00033251,2672.84790039,0.00037648,0.00032689,0.00029418,0.12799421,0.00031053
19,39461,3.59588405,0.00033668,2582.69042969,0.00039473,0.00032649,0.00028880,0.16143189,0.00030764
20,35529,3.23758051,0.00033861,2609.64355469,0.00040305,0.00033367,0.00027743,0.18247390,0.00030555
21,6487,0.59112795,0.00033271,2848.56323242,0.00040026,0.00031876,0.00027911,0.18621714,0.00029893
22,2533,0.23081965,0.00032525,2774.68212891,0.00036977,0.00032171,0.00028429,0.13390718,0.00030300
23,438,0.03991275,0.00033562,2580.14990234,0.00038269,0.00032809,0.00029607,0.13251692,0.00031208
24,3758,0.34244779,0.00033809,2487.30688477,0.00038420,0.00033244,0.00029795,0.13159013,0.00031520
25,40953,3.73184257,0.00033452,2516.57739258,0.00038751,0.00032678,0.00028898,0.15104708,0.00030788
26,7413,0.67550971,0.00033665,2509.01123047,0.00038688,0.00033113,0.00029185,0.14465345,0.00031149
27,18311,1.66859007,0.00033427,2534.22631836,0.00038443,0.00033018,0.00028815,0.14800066,0.00030917
28,16047,1.46228305,0.00033136,2581.54833984,0.00038105,0.00032174,0.00029118,0.14067583,0.00030646
29,14695,1.33908203,0.00033784,2553.07250977,0.00038574,0.00033517,0.00029261,0.14115214,0.00031389
30,931,0.08483739,0.00033775,2550.28222656,0.00038482,0.00033160,0.00029682,0.13389979,0.00031421
31,3446,0.31401679,0.00033376,2646.31665039,0.00037979,0.00032611,0.00029565,0.12959972,0.00031088
32,22587,2.05824062,0.00033346,2545.54370117,0.00038148,0.00033055,0.00028808,0.14248951,0.00030932
33,23769,2.16595038,0.00033447,2598.18530273,0.00037897,0.00033748,0.00028648,0.14051622,0.00031198
34,11739,1.06971650,0.00033588,2704.92602539,0.00039161,0.00033111,0.00028494,0.16045739,0.00030803
35,2890,0.26335128,0.00033738,2576.78247070,0.00038563,0.00033134,0.00029514,0.13739283,0.00031324
36,9581,0.87306873,0.00034193,2515.86889648,0.00038767,0.00033675,0.00030141,0.12992862,0.00031908
37,21681,1.97568136,0.00034122,2609.02465820,0.00039417,0.00033822,0.00029131,0.15344068,0.00031477
38,11205,1.02105575,0.00034371,2575.99243164,0.00039519,0.00034020,0.00029573,0.14739785,0.00031797
39,7305,0.66566820,0.00033744,2633.54663086,0.00038604,0.00033424,0.00029222,0.14236799,0.00031323
40,10339,0.94214149,0.00033420,2732.44555664,0.00038395,0.00033979,0.00027904,0.15910004,0.00030942
41,7864,0.71660709,0.00034070,2694.93505859,0.00041797,0.00032622,0.00027791,0.20802370,0.00030206
42,22374,2.03883099,0.00032680,2495.06884766,0.00039270,0.00032355,0.00027467,0.16224812,0.00029911
43,6712,0.61163107,0.00033645,2751.10180664,0.00038799,0.00032877,0.00029258,0.14507627,0.00031067
44,12583,1.14662601,0.00033104,2784.60498047,0.00038694,0.00032573,0.00028039,0.16414881,0.00030306
45,3515,0.32030441,0.00033154,2695.72631836,0.00036892,0.00032985,0.00029637,0.11174227,0.00031311
46,4974,0.45325580,0.00033633,2744.34912109,0.00037795,0.00033419,0.00029690,0.12346321,0.00031555
47,1258,0.11463526,0.00034184,2692.69335938,0.00045139,0.00032917,0.00024497,0.29833540,0.00028707
48,453,0.04127963,0.00034597,2635.52539062,0.00045517,0.00031615,0.00026659,0.27790144,0.00029137
49,8887,0.80982797,0.00033593,2466.76464844,0.00041894,0.00032087,0.00026650,0.20332277,0.00029369
50,1404,0.12793952,0.00034707,2661.87524414,0.00047162,0.00031795,0.00025165,0.31888610,0.00028480
51,126330,11.51182262,0.00034991,2630.83447266,0.00042382,0.00033967,0.00028647,0.20149837,0.00031307
52,2064,0.18808202,0.00034234,2761.98974609,0.00039360,0.00033992,0.00029349,0.15035942,0.00031670
53,11332,1.03262862,0.00032917,2815.95385742,0.00039079,0.00032964,0.00026700,0.18979636,0.00029832
54,5329,0.48560518,0.00034835,2712.16674805,0.00040934,0.00034577,0.00028995,0.17007779,0.00031786
55,8385,0.76408322,0.00032051,2859.93383789,0.00038675,0.00032386,0.00025129,0.21620290,0.00028757
56,725,0.06606563,0.00033050,2850.40625000,0.00038684,0.00032787,0.00027680,0.16772000,0.00030234
57,240778,21.94089787,0.00034446,2679.35278320,0.00043045,0.00033061,0.00027167,0.23047325,0.00030114
