,runno:,N54779,atlas:,DB2_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,22897965,2086.57730936,0.00034963,1489.23547363,0.00047959,0.00031019,0.00025163,0.26626176,0.00028091
1,8302,0.75651984,0.00031962,3023.53906250,0.00038036,0.00032305,0.00025545,0.19810402,0.00028925
2,3430,0.31255879,0.00031933,2952.97998047,0.00037963,0.00032218,0.00025618,0.19508304,0.00028918
3,5418,0.49371531,0.00033468,2808.11328125,0.00038905,0.00034036,0.00027462,0.17223878,0.00030749
4,2115,0.19272940,0.00033840,2829.05053711,0.00038418,0.00034220,0.00028902,0.14179656,0.00031561
5,3078,0.28048278,0.00032951,2770.72924805,0.00039406,0.00031484,0.00027964,0.17994101,0.00029724
6,1712,0.15600602,0.00032977,2810.62231445,0.00039419,0.00032002,0.00027908,0.17458917,0.00029955
7,8585,0.78230822,0.00032315,2788.13378906,0.00039134,0.00031691,0.00026120,0.20596318,0.00028906
8,16424,1.49663718,0.00033409,2689.94116211,0.00039080,0.00033374,0.00027864,0.16814312,0.00030619
9,10680,0.97321512,0.00033554,2896.86621094,0.00039709,0.00032232,0.00028721,0.16658589,0.00030477
10,6987,0.63669045,0.00033501,2583.26293945,0.00038510,0.00032808,0.00029174,0.14230499,0.00030991
11,6879,0.62684895,0.00033437,2576.89355469,0.00038131,0.00032844,0.00029322,0.13569206,0.00031083
12,7289,0.66421020,0.00033523,2651.28735352,0.00038706,0.00032821,0.00029042,0.14582992,0.00030931
13,3034,0.27647328,0.00034203,2603.14355469,0.00040414,0.00033872,0.00028442,0.17647551,0.00031157
14,3955,0.36039942,0.00034289,2567.33203125,0.00038998,0.00034255,0.00029614,0.13965213,0.00031934
15,33399,3.04348424,0.00034465,2641.17871094,0.00040680,0.00033189,0.00029600,0.16391699,0.00031395
16,31702,2.88884509,0.00033543,2703.35229492,0.00039149,0.00033632,0.00027707,0.17410491,0.00030669
17,15929,1.45153030,0.00034319,2698.73437500,0.00040289,0.00033648,0.00029021,0.16699995,0.00031334
18,1442,0.13140227,0.00033256,2673.40039062,0.00037449,0.00033028,0.00029272,0.12614185,0.00031150
19,37799,3.44443429,0.00033667,2608.62182617,0.00039186,0.00032826,0.00028985,0.15583971,0.00030905
20,33353,3.03929249,0.00033835,2668.41650391,0.00039616,0.00033275,0.00028642,0.16492279,0.00030959
21,6634,0.60452332,0.00033568,2919.07690430,0.00040473,0.00032190,0.00028040,0.18808362,0.00030115
22,2557,0.23300665,0.00032774,2766.90332031,0.00037380,0.00032211,0.00028689,0.13678244,0.00030450
23,521,0.04747613,0.00033457,2593.24951172,0.00037808,0.00033071,0.00029491,0.12665114,0.00031281
24,3986,0.36322429,0.00033806,2505.15332031,0.00038295,0.00033250,0.00029872,0.12881559,0.00031561
25,41471,3.77904533,0.00033526,2545.05468750,0.00038886,0.00032650,0.00029018,0.15136409,0.00030834
26,7419,0.67605646,0.00033808,2540.67333984,0.00038979,0.00033253,0.00029199,0.14824891,0.00031226
27,17856,1.62712819,0.00033595,2553.86645508,0.00038630,0.00033205,0.00028936,0.14835218,0.00031071
28,16826,1.53326943,0.00033241,2605.35498047,0.00038139,0.00032400,0.00029184,0.13984016,0.00030792
29,14103,1.28513603,0.00034012,2550.90576172,0.00038934,0.00033457,0.00029645,0.13982281,0.00031551
30,882,0.08037226,0.00033796,2583.83007812,0.00038164,0.00033518,0.00029707,0.12793878,0.00031613
31,3468,0.31602154,0.00033271,2662.09985352,0.00037472,0.00032842,0.00029489,0.12352250,0.00031165
32,21011,1.91462760,0.00033638,2545.99658203,0.00038225,0.00033260,0.00029399,0.13341117,0.00031329
33,24764,2.25661977,0.00033881,2552.34497070,0.00038388,0.00034122,0.00029109,0.13879381,0.00031615
34,12635,1.15136451,0.00033741,2695.02685547,0.00039715,0.00032934,0.00028582,0.16715483,0.00030758
35,2953,0.26909216,0.00033563,2588.00317383,0.00038429,0.00032939,0.00029322,0.13908738,0.00031130
36,9868,0.89922161,0.00033910,2545.08154297,0.00038691,0.00033150,0.00029903,0.13319905,0.00031527
37,24825,2.26217839,0.00033996,2604.90502930,0.00039587,0.00033430,0.00028969,0.15825385,0.00031200
38,11561,1.05349625,0.00034253,2596.12084961,0.00039523,0.00033419,0.00029816,0.14517567,0.00031618
39,7298,0.66503033,0.00033158,2686.83715820,0.00037766,0.00032845,0.00028861,0.13791250,0.00030853
40,11338,1.03317537,0.00032951,2794.24389648,0.00037986,0.00032959,0.00027941,0.15265886,0.00030450
41,7891,0.71906746,0.00034251,2762.44458008,0.00041816,0.00032870,0.00028067,0.20325218,0.00030469
42,22388,2.04010674,0.00034452,2381.37133789,0.00041691,0.00034553,0.00029128,0.16377811,0.00031840
43,6922,0.63076733,0.00034422,2647.97900391,0.00039783,0.00033705,0.00029779,0.14805406,0.00031742
44,11195,1.02014450,0.00033974,2672.13403320,0.00039928,0.00033367,0.00028614,0.17015322,0.00030991
45,3608,0.32877904,0.00034006,2606.67529297,0.00037848,0.00033804,0.00030389,0.11046129,0.00032096
46,5389,0.49107268,0.00034296,2688.61889648,0.00038880,0.00034059,0.00029961,0.13235143,0.00032010
47,1317,0.12001164,0.00034874,2686.76464844,0.00046012,0.00033926,0.00024683,0.30256352,0.00029305
48,446,0.04064175,0.00035076,2627.80712891,0.00045814,0.00032796,0.00026618,0.27525258,0.00029707
49,9130,0.83197135,0.00034182,2462.97753906,0.00042233,0.00033071,0.00027457,0.20069952,0.00030264
50,1347,0.12274539,0.00035130,2667.90942383,0.00048604,0.00031168,0.00025616,0.33286229,0.00028392
51,133274,12.14459470,0.00035016,2653.81958008,0.00042161,0.00034017,0.00028877,0.19519077,0.00031447
52,2381,0.21696865,0.00034994,2750.06689453,0.00040399,0.00034675,0.00029908,0.15414698,0.00032291
53,13129,1.19638027,0.00033438,2779.35083008,0.00039582,0.00033139,0.00027585,0.18134950,0.00030362
54,6061,0.55230869,0.00035443,2683.72338867,0.00041642,0.00035144,0.00029543,0.17001225,0.00032343
55,8937,0.81438422,0.00033192,2782.62841797,0.00039858,0.00033396,0.00026323,0.20757639,0.00029860
56,871,0.07936988,0.00032421,2912.09204102,0.00037721,0.00032300,0.00027242,0.16152364,0.00029771
57,252777,23.03430687,0.00034948,2726.59985352,0.00043647,0.00033672,0.00027582,0.23022689,0.00030627
58,1470,0.13395377,0.00034815,2510.10595703,0.00039772,0.00034413,0.00030187,0.13808966,0.00032300
59,49575,4.51752241,0.00030384,3154.15771484,0.00035794,0.00030057,0.00025303,0.17645544,0.00027680
