,runno:,N54793,atlas:,C57_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,22438429,2044.70208637,0.00032260,1499.08837891,0.00045414,0.00028337,0.00022550,0.27695701,0.00025443
1,8953,0.81584222,0.00030598,3045.23242188,0.00035540,0.00030814,0.00025440,0.16934454,0.00028127
2,3509,0.31975766,0.00031602,2827.38720703,0.00036741,0.00031697,0.00026367,0.16850664,0.00029032
3,8032,0.73191609,0.00032240,2840.09350586,0.00036670,0.00032939,0.00027111,0.15107210,0.00030025
4,2721,0.24795115,0.00032080,2741.52636719,0.00036219,0.00032777,0.00027325,0.14121795,0.00030051
5,2450,0.22325628,0.00031991,2698.33032227,0.00038125,0.00030887,0.00026960,0.17798631,0.00028923
6,1882,0.17149727,0.00031933,2743.98071289,0.00037954,0.00032660,0.00025763,0.18817537,0.00029212
7,8592,0.78294609,0.00031923,2688.30346680,0.00038318,0.00031777,0.00025674,0.20262787,0.00028725
8,16062,1.46364992,0.00032120,2653.23242188,0.00037335,0.00032819,0.00026358,0.17146569,0.00029589
9,10831,0.98697499,0.00032293,2925.08837891,0.00037439,0.00031436,0.00028002,0.14858581,0.00029719
10,7808,0.71150408,0.00032685,2591.14062500,0.00037363,0.00032481,0.00028211,0.14285062,0.00030346
11,8363,0.76207847,0.00032652,2607.05786133,0.00037047,0.00032502,0.00028416,0.13567187,0.00030459
12,8598,0.78349284,0.00032875,2608.53466797,0.00037911,0.00032363,0.00028352,0.14644484,0.00030357
13,3332,0.30362854,0.00032500,2709.17529297,0.00037227,0.00032406,0.00027766,0.14803618,0.00030086
14,5334,0.48606081,0.00033925,2538.83593750,0.00038375,0.00034572,0.00028829,0.14260203,0.00031700
15,41497,3.78141458,0.00032837,2728.73583984,0.00038391,0.00031673,0.00028358,0.15589517,0.00030015
16,35025,3.19165351,0.00032254,2722.93115234,0.00037179,0.00032312,0.00026818,0.16435717,0.00029565
17,16977,1.54702931,0.00033112,2717.64819336,0.00038679,0.00032298,0.00028346,0.15875824,0.00030322
18,1287,0.11727789,0.00032998,2567.80517578,0.00036412,0.00033252,0.00029364,0.10962284,0.00031308
19,39855,3.63178731,0.00033194,2555.79028320,0.00038345,0.00032613,0.00028617,0.15098454,0.00030615
20,37569,3.42347553,0.00032757,2674.57104492,0.00038033,0.00032565,0.00027655,0.16174090,0.00030110
21,7145,0.65108820,0.00030923,3140.07006836,0.00036172,0.00029788,0.00026810,0.15468521,0.00028299
22,2742,0.24986478,0.00032572,2635.94555664,0.00036781,0.00031999,0.00028917,0.12479200,0.00030458
23,522,0.04756726,0.00033405,2541.48266602,0.00036912,0.00033743,0.00029559,0.11298798,0.00031651
24,4731,0.43111243,0.00032700,2581.22387695,0.00036989,0.00032241,0.00028880,0.12892178,0.00030561
25,47220,4.30292301,0.00033057,2514.84252930,0.00037421,0.00032700,0.00029051,0.13043509,0.00030875
26,8389,0.76444772,0.00033307,2508.23730469,0.00037345,0.00033247,0.00029334,0.12405954,0.00031291
27,19317,1.76026183,0.00033277,2504.07055664,0.00037573,0.00033129,0.00029115,0.13160126,0.00031122
28,16410,1.49536143,0.00033217,2533.83740234,0.00037382,0.00032566,0.00029700,0.12143967,0.00031133
29,16309,1.48615780,0.00033518,2521.99072266,0.00037725,0.00033970,0.00028860,0.13479611,0.00031415
30,998,0.09094276,0.00033097,2561.14624023,0.00037334,0.00032695,0.00029262,0.12465550,0.00030978
31,3648,0.33242404,0.00033063,2585.67163086,0.00037033,0.00032983,0.00029173,0.12208483,0.00031078
32,24346,2.21852951,0.00033229,2511.08422852,0.00037664,0.00033189,0.00028754,0.13575670,0.00030971
33,30797,2.80637696,0.00032828,2572.13452148,0.00037314,0.00033216,0.00027786,0.14730962,0.00030501
34,14928,1.36031416,0.00033084,2654.48461914,0.00038362,0.00033145,0.00027753,0.16131139,0.00030449
35,3427,0.31228541,0.00033229,2523.93261719,0.00037028,0.00033548,0.00029113,0.12312058,0.00031330
36,11424,1.04101212,0.00033599,2480.63793945,0.00037675,0.00033217,0.00029934,0.11883421,0.00031575
37,25880,2.35831528,0.00033286,2605.26977539,0.00037971,0.00033373,0.00028578,0.14426143,0.00030976
38,13728,1.25096415,0.00033548,2532.19238281,0.00038020,0.00033488,0.00029143,0.13536404,0.00031315
39,6859,0.62502645,0.00032517,2678.57934570,0.00036672,0.00032515,0.00028381,0.13050871,0.00030448
40,11026,1.00474437,0.00032506,2727.88427734,0.00037320,0.00032661,0.00027535,0.15191618,0.00030098
41,7792,0.71004608,0.00032756,2834.10498047,0.00039198,0.00031463,0.00027607,0.18065906,0.00029535
42,26155,2.38337466,0.00030685,2635.62304688,0.00037083,0.00030585,0.00025350,0.16765298,0.00027967
43,7231,0.65892495,0.00032955,2709.84130859,0.00038664,0.00032090,0.00028108,0.16264158,0.00030099
44,13490,1.22927640,0.00032091,2789.92309570,0.00038329,0.00031864,0.00025992,0.19412848,0.00028928
45,3921,0.35730117,0.00031728,2835.91699219,0.00035620,0.00031294,0.00028231,0.11948895,0.00029763
46,5079,0.46282393,0.00032493,2803.65722656,0.00036771,0.00032267,0.00028467,0.13096678,0.00030367
47,1480,0.13486502,0.00033648,2695.99121094,0.00043904,0.00031848,0.00025191,0.28036714,0.00028519
48,645,0.05877563,0.00033589,2628.42626953,0.00043861,0.00030306,0.00026599,0.26555339,0.00028453
49,10950,0.99781887,0.00033423,2467.48461914,0.00044225,0.00030668,0.00025331,0.24580081,0.00028000
50,1651,0.15044739,0.00033789,2664.71533203,0.00045731,0.00030253,0.00025382,0.30671036,0.00027817
51,145606,13.26834833,0.00033836,2640.58300781,0.00040988,0.00032739,0.00027805,0.20079158,0.00030272
52,2684,0.24457953,0.00032792,2864.10180664,0.00036996,0.00032606,0.00028775,0.12857285,0.00030691
53,13646,1.24349190,0.00032382,2798.13916016,0.00038208,0.00032906,0.00026018,0.19009344,0.00029462
54,6074,0.55349332,0.00033038,2687.55419922,0.00039083,0.00032513,0.00027517,0.17555200,0.00030015
55,9564,0.87151960,0.00031674,2841.51171875,0.00038845,0.00032154,0.00024024,0.23705333,0.00028089
56,887,0.08082788,0.00031059,2859.46166992,0.00036004,0.00031281,0.00025892,0.16526598,0.00028586
57,282906,25.77981232,0.00033066,2800.12939453,0.00041070,0.00031732,0.00026393,0.22279736,0.00029063
58,1395,0.12711939,0.00032532,2556.32519531,0.00037025,0.00032643,0.00028176,0.13637477,0.00030410
59,51699,4.71107194,0.00028552,3186.15039062,0.00033970,0.00028102,0.00023544,0.18494639,0.00025823
60,31243,2.84701871,0.00030016,2940.34326172,0.00038543,0.00028044,0.00023510,0.22938977,0.00025777
61,2142,0.19518977,0.00028451,2746.57324219,0.00036461,0.00028532,0.00020359,0.28336504,0.00024446
62,34912,3.18135638,0.00029606,3091.30322266,0.00036380,0.00028487,0.00023950,0.21536264,0.00026218
63,11516,1.04939563,0.00028682,2679.30102539,0.00035590,0.00028130,0.00022325,0.23426731,0.00025228
