,runno:,N54851,atlas:,BTBR_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,23028339,2098.45764153,0.00038819,1431.22497559,0.00052151,0.00034241,0.00027960,0.28221679,0.00031101
1,12373,1.12748976,0.00032486,2895.00073242,0.00038397,0.00032651,0.00026409,0.18540500,0.00029530
2,8459,0.77082647,0.00032806,2768.84692383,0.00037911,0.00032953,0.00027554,0.16018672,0.00030254
3,4817,0.43894918,0.00033871,2651.56738281,0.00039102,0.00034357,0.00028154,0.16210671,0.00031255
4,2049,0.18671515,0.00032707,2785.07812500,0.00037055,0.00033352,0.00028004,0.13465424,0.00030678
5,9433,0.85958223,0.00032287,2828.43188477,0.00037970,0.00032360,0.00027210,0.16599621,0.00029785
6,863,0.07864088,0.00033948,2682.23608398,0.00039555,0.00034910,0.00027380,0.17963473,0.00031145
7,7968,0.72608409,0.00033187,2644.27856445,0.00038605,0.00033554,0.00027394,0.16844638,0.00030474
8,12884,1.17405464,0.00033016,2681.97827148,0.00037864,0.00033963,0.00027277,0.16170314,0.00030620
9,8314,0.75761334,0.00033403,2798.35693359,0.00040206,0.00031782,0.00028323,0.17972198,0.00030052
10,6894,0.62821582,0.00033891,2435.70092773,0.00039026,0.00033620,0.00029029,0.14913540,0.00031325
11,6752,0.61527607,0.00033600,2421.64453125,0.00038187,0.00033581,0.00029082,0.13657732,0.00031331
12,7308,0.66594158,0.00034047,2451.98876953,0.00039593,0.00033901,0.00028646,0.16181314,0.00031274
13,3364,0.30654454,0.00033915,2633.03051758,0.00039141,0.00034288,0.00028315,0.16168757,0.00031302
14,4263,0.38846592,0.00034660,2434.72900391,0.00039110,0.00034987,0.00029883,0.13534911,0.00032435
15,28767,2.62139319,0.00034408,2595.04638672,0.00039771,0.00033655,0.00029794,0.14654800,0.00031725
16,33584,3.06034236,0.00033224,2613.16186523,0.00038857,0.00033727,0.00026989,0.18228567,0.00030358
17,14849,1.35311529,0.00034157,2597.54589844,0.00039657,0.00033967,0.00028848,0.16078229,0.00031407
18,928,0.08456401,0.00032502,2544.25781250,0.00035977,0.00032501,0.00029113,0.10836794,0.00030807
19,27893,2.54174993,0.00034437,2414.92236328,0.00038784,0.00033817,0.00030700,0.12107012,0.00032259
20,27686,2.52288705,0.00034010,2533.24121094,0.00039190,0.00033542,0.00029341,0.14689137,0.00031442
21,4253,0.38755467,0.00032442,2973.40039062,0.00038958,0.00030401,0.00027966,0.17665043,0.00029184
22,1809,0.16484514,0.00033019,2562.08618164,0.00036674,0.00033009,0.00029147,0.11554614,0.00031078
23,551,0.05020988,0.00033029,2465.49194336,0.00036994,0.00033079,0.00029110,0.12122923,0.00031095
24,3817,0.34782417,0.00033966,2355.96655273,0.00037388,0.00034217,0.00030329,0.10634669,0.00032273
25,40188,3.66213194,0.00034338,2334.55029297,0.00038873,0.00033945,0.00030172,0.12985182,0.00032059
26,6592,0.60069607,0.00034383,2350.27368164,0.00038613,0.00034110,0.00030412,0.12243693,0.00032261
27,14186,1.29269940,0.00034250,2368.95922852,0.00038158,0.00033916,0.00030668,0.11272918,0.00032292
28,11715,1.06752950,0.00034219,2385.92919922,0.00037783,0.00033914,0.00030968,0.10315205,0.00032441
29,15191,1.38428004,0.00034190,2406.11010742,0.00038506,0.00034088,0.00029976,0.12735021,0.00032032
30,702,0.06396976,0.00034442,2386.48144531,0.00038657,0.00034230,0.00030438,0.12106521,0.00032334
31,2938,0.26772528,0.00034039,2429.13134766,0.00037707,0.00034084,0.00030405,0.10914624,0.00032244
32,21669,1.97458786,0.00034047,2385.02124023,0.00038310,0.00033988,0.00029839,0.12690909,0.00031914
33,29840,2.71917032,0.00034054,2412.77050781,0.00038690,0.00034975,0.00028496,0.15329450,0.00031735
34,13330,1.21469639,0.00033161,2618.67993164,0.00038907,0.00033029,0.00027588,0.17111090,0.00030309
35,2705,0.24649315,0.00033466,2434.50585938,0.00037393,0.00033362,0.00029520,0.12030360,0.00031441
36,9056,0.82522810,0.00033813,2397.47436523,0.00038045,0.00033602,0.00029872,0.12322824,0.00031738
37,18492,1.68508370,0.00033462,2485.11816406,0.00038155,0.00033642,0.00028680,0.14385253,0.00031161
38,11678,1.06415788,0.00033697,2496.27978516,0.00038235,0.00033630,0.00029269,0.13453355,0.00031450
39,4904,0.44687705,0.00033271,2503.51171875,0.00037730,0.00033537,0.00028637,0.13922834,0.00031087
40,8022,0.73100484,0.00032424,2666.82275391,0.00037335,0.00033729,0.00026167,0.17769009,0.00029948
41,7357,0.67040670,0.00032833,2862.64501953,0.00039100,0.00031152,0.00028249,0.17117643,0.00029700
42,20327,1.85229810,0.00031361,2758.64990234,0.00036717,0.00030908,0.00026701,0.16140305,0.00028804
