,runno:,N54885,atlas:,CAST_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,23380852,2130.58039248,0.00031687,1615.96044922,0.00044468,0.00027677,0.00022367,0.28044426,0.00025022
1,7253,0.66092970,0.00030407,3120.09863281,0.00034777,0.00030686,0.00025757,0.15241386,0.00028222
2,3018,0.27501528,0.00031532,2892.77758789,0.00036471,0.00031951,0.00026175,0.16832457,0.00029063
3,6474,0.58994332,0.00031815,2890.96630859,0.00035842,0.00032808,0.00026795,0.14642225,0.00029801
4,2160,0.19683002,0.00031769,2813.32641602,0.00035851,0.00032772,0.00026686,0.14900403,0.00029729
5,1774,0.16165577,0.00032457,2716.69042969,0.00039312,0.00031206,0.00026854,0.19690174,0.00029030
6,1203,0.10962339,0.00031465,2824.35400391,0.00038161,0.00031599,0.00025328,0.19927979,0.00028463
7,6906,0.62930933,0.00031005,2872.76000977,0.00037007,0.00030640,0.00025366,0.19179474,0.00028003
8,13023,1.18672102,0.00030710,2827.80615234,0.00035380,0.00031260,0.00025542,0.16254207,0.00028401
9,9596,0.87443560,0.00032335,2893.32299805,0.00037524,0.00031499,0.00027981,0.14937481,0.00029740
10,6352,0.57882607,0.00032636,2652.72534180,0.00037291,0.00032176,0.00028434,0.13816687,0.00030305
11,7329,0.66785520,0.00032586,2629.30004883,0.00037223,0.00032481,0.00028069,0.14323278,0.00030275
12,6337,0.57745919,0.00033043,2671.02075195,0.00038059,0.00032112,0.00028958,0.14130785,0.00030535
13,3576,0.32586304,0.00033184,2559.32104492,0.00040905,0.00033028,0.00026706,0.20391771,0.00029867
14,4831,0.44022493,0.00034187,2527.59594727,0.00039237,0.00034767,0.00028556,0.15876892,0.00031661
15,32709,2.98060798,0.00033714,2633.51171875,0.00040089,0.00032583,0.00028499,0.17416419,0.00030541
16,33775,3.07774724,0.00031386,2857.50317383,0.00036780,0.00031444,0.00025899,0.17604068,0.00028672
17,12753,1.16211726,0.00033875,2665.19287109,0.00041205,0.00032487,0.00027932,0.20111306,0.00030210
18,1094,0.09969076,0.00031634,2708.23510742,0.00035043,0.00031539,0.00028320,0.10940417,0.00029929
19,33520,3.05451036,0.00032889,2622.99462891,0.00038438,0.00032079,0.00028150,0.16058923,0.00030115
20,31506,2.87098459,0.00032367,2725.48657227,0.00037859,0.00032107,0.00027177,0.16786952,0.00029642
21,7137,0.65035920,0.00032140,2953.88208008,0.00038020,0.00031021,0.00027380,0.16935447,0.00029201
22,2260,0.20594252,0.00030862,2854.83447266,0.00034844,0.00030551,0.00027191,0.12864086,0.00028871
23,550,0.05011876,0.00032522,2655.02148438,0.00035592,0.00032794,0.00029181,0.10278498,0.00030987
24,3591,0.32722991,0.00032841,2586.19238281,0.00036635,0.00032599,0.00029264,0.11583852,0.00030931
25,35927,3.27384827,0.00032975,2553.15283203,0.00037761,0.00032506,0.00028647,0.14112838,0.00030576
26,6163,0.56160344,0.00033077,2557.01757812,0.00037786,0.00032848,0.00028596,0.14172204,0.00030722
27,16435,1.49763955,0.00033001,2563.86767578,0.00037995,0.00032725,0.00028282,0.15089814,0.00030503
