participant_id,genotype,sex
sub-54776,DBA2,male
sub-54777,DBA2,male
sub-54779,DBA2,female
sub-54781,DBA2,female
sub-54790,B6,male
sub-54793,B6,male
sub-54794,B6,female
sub-54797,B6,female
sub-54811,BTBR,male
sub-54813,BTBR,male
sub-54815,BTBR,female
sub-54817,BTBR,female
sub-54821,CAST,male
sub-54823,CAST,male
sub-54829,DBA2,male
sub-54831,DBA2,male
sub-54833,DBA2,female
sub-54835,DBA2,female
sub-54842,CAST,female
sub-54847,CAST,female
sub-54849,BTBR,male
sub-54851,BTBR,male
sub-54853,BTBR,female
sub-54855,BTBR,female
sub-54864,B6,male
sub-54866,B6,male
sub-54868,B6,female
sub-54870,B6,female
sub-54883,CAST,male
sub-54885,CAST,male
sub-54887,CAST,female
sub-54890,CAST,female
